Reference, Value, Footprint, Datasheet
U24,4558,MyModules:TSSOP8-JRL,
D54,1N4148,MyModules:SOD323-C1A2,
Q45,MMBT3904,MyModules:SOT23-132-JRL,
Q46,MMBT3906,MyModules:SOT23-132-JRL,
Q35,MMBT3904,MyModules:SOT23-132-JRL,
R131,100K,MyModules:SM0603-R-JRL,
R128,1meg,MyModules:SM0603-R-JRL,
C29-1,47μ,MyModules:2MM-POL-CAP,
R124,100,MyModules:SM0603-R-JRL,
C202,22p,MyModules:SM0603-C-JRL,
R130,1meg,MyModules:SM0603-R-JRL,
TM4,20K(B),MyModules:Bourns_3362P,
C200,10μ,MyModules:2MM-POL-CAP,
R133,22K,MyModules:SM0603-R-JRL,
C32-1,0.039μ,MyModules:SM0603-C-JRL,
R132,22K,MyModules:SM0603-R-JRL,
C33-1,0.018μ,MyModules:SM0603-C-JRL,
U14,4558,MyModules:TSSOP8-JRL,
C59,0.027μ,MyModules:SM0603-C-JRL,
C58,0.027μ,MyModules:SM0603-C-JRL,
R196,680,MyModules:SM0603-R-JRL,
R197,820K,MyModules:SM0603-R-JRL,
R192,220,MyModules:SM0603-R-JRL,
R189,100K,MyModules:SM0603-R-JRL,
C57,0.0068μ,MyModules:SM0603-C-JRL,
R191,8.2K,MyModules:SM0603-R-JRL,
C61,0.0068μ,MyModules:SM0603-C-JRL,
C60,0.0068μ,MyModules:SM0603-C-JRL,
R195,2.2K,MyModules:SM0603-R-JRL,
R198,1meg,MyModules:SM0603-R-JRL,
R200,47K,MyModules:SM0603-R-JRL,
VR8,100K(B),MyModules:RD901F-ALPHA-POT,
R190,680,MyModules:SM0603-R-JRL,
C63,0.047μ,MyModules:SM0603-C-JRL,
C65,0.047μ,MyModules:SM0603-C-JRL,
R204,100K,MyModules:SM0603-R-JRL,
R205,27K,MyModules:SM0603-R-JRL,
U13,4558,MyModules:TSSOP8-JRL,
R206,47K,MyModules:SM0603-R-JRL,
R210,470K,MyModules:SM0603-R-JRL,
C70,220p,MyModules:SM0603-C-JRL,
VR7,100K(A),MyModules:RD901F-ALPHA-POT,
C68,33μ,MyModules:2MM-POL-CAP,
R207,1K,MyModules:SM0603-R-JRL,
R182,10K,MyModules:SM0603-R-JRL,
R183,4.7K,MyModules:SM0603-R-JRL,
R180,22K,MyModules:SM0603-R-JRL,
R181,10K,MyModules:SM0603-R-JRL,
R199,1K,MyModules:SM0603-R-JRL,
VR9,10K(B),MyModules:RD901F-ALPHA-POT,
Q47,MMBT3904,MyModules:SOT23-132-JRL,
R187,330,MyModules:SM0603-R-JRL,
C55,47μ,MyModules:2MM-POL-CAP,
R193,100,MyModules:SM0603-R-JRL,
C51,0.47μ,MyModules:2MM-POL-CAP,
R184,15K,MyModules:SM0603-R-JRL,
C52,0.1μ,MyModules:SM0603-C-JRL,
R185,15K,MyModules:SM0603-R-JRL,
C66,0.0018μ,MyModules:SM0603-C-JRL,
C53,0.001μ,MyModules:SM0603-C-JRL,
C67,0.0018μ,MyModules:SM0603-C-JRL,
Q48,MMBT3904,MyModules:SOT23-132-JRL,
Q49,MMBT3904,MyModules:SOT23-132-JRL,
C69,0.01μ,MyModules:SM0603-C-JRL,
C54,0.0027μ,MyModules:SM0603-C-JRL,
R188,100,MyModules:SM0603-R-JRL,
R201,22K,MyModules:SM0603-R-JRL,
R202,47K,MyModules:SM0603-R-JRL,
R203,22K,MyModules:SM0603-R-JRL,
R186,33K,MyModules:SM0603-R-JRL,
R194,2.2meg,MyModules:SM0603-R-JRL,
C56,0.022μ,MyModules:SM0603-C-JRL,
Q39,MMBT3904,MyModules:SOT23-132-JRL,
Q40,MMBT3906,MyModules:SOT23-132-JRL,
R163,100K,MyModules:SM0603-R-JRL,
C40,0.015μ,MyModules:SM0603-C-JRL,
R154,10K,MyModules:SM0603-R-JRL,
R155,4.7K,MyModules:SM0603-R-JRL,
R152,22K,MyModules:SM0603-R-JRL,
R153,10K,MyModules:SM0603-R-JRL,
U15,4558,MyModules:TSSOP8-JRL,
R162,4.7K,MyModules:SM0603-R-JRL,
D53,1N4148,MyModules:SOD323-C1A2,
Q41,MMBT3904,MyModules:SOT23-132-JRL,
Q42,MMBT3904,MyModules:SOT23-132-JRL,
C38,0.1μ,MyModules:SM0603-C-JRL,
R157,8.2K,MyModules:SM0603-R-JRL,
R158,2.7K,MyModules:SM0603-R-JRL,
R156,1meg,MyModules:SM0603-R-JRL,
R160,22K,MyModules:SM0603-R-JRL,
C39,0.033μ,MyModules:SM0603-C-JRL,
D52,1N4148,MyModules:SOD323-C1A2,
R161,1meg,MyModules:SM0603-R-JRL,
R159,100K,MyModules:SM0603-R-JRL,
Q43,MMBT3904,MyModules:SOT23-132-JRL,
R167,1meg,MyModules:SM0603-R-JRL,
R165,47K,MyModules:SM0603-R-JRL,
R166,6.8K,MyModules:SM0603-R-JRL,
C48,220p,MyModules:SM0603-C-JRL,
C41,0.015μ,MyModules:SM0603-C-JRL,
C42,0.015μ,MyModules:SM0603-C-JRL,
U12,4558,MyModules:TSSOP8-JRL,
R171,220,MyModules:SM0603-R-JRL,
VR5,10K(C),MyModules:RD901F-ALPHA-POT,
R172,10K,MyModules:SM0603-R-JRL,
R168,22K,MyModules:SM0603-R-JRL,
VR6,500K(B),MyModules:RD901F-ALPHA-POT,
C43,33μ,MyModules:2MM-POL-CAP,
R170,470K,MyModules:SM0603-R-JRL,
C47,0.47μ,MyModules:2MM-POL-CAP,
C45,0.1μ,MyModules:SM0603-C-JRL,
VR4,100K(A),MyModules:RD901F-ALPHA-POT,
C49,0.47μ,MyModules:2MM-POL-CAP,
R177,82K,MyModules:SM0603-R-JRL,
Q44,MMBT3904,MyModules:SOT23-132-JRL,
R176,100K,MyModules:SM0603-R-JRL,
R173,6.8K,MyModules:SM0603-R-JRL,
C50,1μ,MyModules:2MM-POL-CAP,
R174,100K,MyModules:SM0603-R-JRL,
R175,1K,MyModules:SM0603-R-JRL,
Q50,MMBT3904,MyModules:SOT23-132-JRL,
Q51,MMBT3906,MyModules:SOT23-132-JRL,
R213,10K,MyModules:SM0603-R-JRL,
R214,4.7K,MyModules:SM0603-R-JRL,
R211,22K,MyModules:SM0603-R-JRL,
R212,10K,MyModules:SM0603-R-JRL,
R215,4.7K,MyModules:SM0603-R-JRL,
R219,4.7K,MyModules:SM0603-R-JRL,
C73,0.0068μ,MyModules:SM0603-C-JRL,
D56,1N4148,MyModules:SOD323-C1A2,
R226,22K,MyModules:SM0603-R-JRL,
R224,1.5K,MyModules:SM0603-R-JRL,
D55,1N4148,MyModules:SOD323-C1A2,
C72,0.039μ,MyModules:SM0603-C-JRL,
R225,4.7K,MyModules:SM0603-R-JRL,
R218,2.2meg,MyModules:SM0603-R-JRL,
C71,0.047μ,MyModules:SM0603-C-JRL,
R220,33K,MyModules:SM0603-R-JRL,
R217,3.3K,MyModules:SM0603-R-JRL,
Q52,MMBT3904,MyModules:SOT23-132-JRL,
R216,15K,MyModules:SM0603-R-JRL,
R221,4.7K,MyModules:SM0603-R-JRL,
C74,0.047μ,MyModules:SM0603-C-JRL,
R223,22K,MyModules:SM0603-R-JRL,
R222,22K,MyModules:SM0603-R-JRL,
C75,0.018μ,MyModules:SM0603-C-JRL,
C76,0.056μ,MyModules:SM0603-C-JRL,
R228,820K,MyModules:SM0603-R-JRL,
C78,0.012μ,MyModules:SM0603-C-JRL,
VR11,500(B),MyModules:RD901F-ALPHA-POT,
R231,1K,MyModules:SM0603-R-JRL,
R229,33K,MyModules:SM0603-R-JRL,
R230,820K,MyModules:SM0603-R-JRL,
R227,33K,MyModules:SM0603-R-JRL,
C77,0.047μ,MyModules:SM0603-C-JRL,
D80,1N4148,MyModules:SOD323-C1A2,
D81,1N4148,MyModules:SOD323-C1A2,
R233,100K,MyModules:SM0603-R-JRL,
C81,0.047μ,MyModules:SM0603-C-JRL,
R232,100K,MyModules:SM0603-R-JRL,
R234,47K,MyModules:SM0603-R-JRL,
R235,470K,MyModules:SM0603-R-JRL,
VR10,100K(A),MyModules:RD901F-ALPHA-POT,
C82,33μ,MyModules:2MM-POL-CAP,
R238,1K,MyModules:SM0603-R-JRL,
C83,0.001μ,MyModules:SM0603-C-JRL,
U17,4558,MyModules:TSSOP8-JRL,
Q53,MMBT3904,MyModules:SOT23-132-JRL,
Q54,MMBT3906,MyModules:SOT23-132-JRL,
R242,10K,MyModules:SM0603-R-JRL,
R243,4.7K,MyModules:SM0603-R-JRL,
R240,22K,MyModules:SM0603-R-JRL,
R241,10K,MyModules:SM0603-R-JRL,
R251,4.7K,MyModules:SM0603-R-JRL,
R244,4.7K,MyModules:SM0603-R-JRL,
C86,0.0027μ,MyModules:SM0603-C-JRL,
D58,1N4148,MyModules:SOD323-C1A2,
R255,22K,MyModules:SM0603-R-JRL,
R253,2.2K,MyModules:SM0603-R-JRL,
D57,1N4148,MyModules:SOD323-C1A2,
C85,0.033μ,MyModules:SM0603-C-JRL,
R254,6.8K,MyModules:SM0603-R-JRL,
R247,2.2meg,MyModules:SM0603-R-JRL,
C84,0.047μ,MyModules:SM0603-C-JRL,
R248,33K,MyModules:SM0603-R-JRL,
R246,3.3K,MyModules:SM0603-R-JRL,
Q55,MMBT3904,MyModules:SOT23-132-JRL,
R245,15K,MyModules:SM0603-R-JRL,
R252,4.7K,MyModules:SM0603-R-JRL,
C87,0.033μ,MyModules:SM0603-C-JRL,
R249,22K,MyModules:SM0603-R-JRL,
R250,22K,MyModules:SM0603-R-JRL,
C88,0.015μ,MyModules:SM0603-C-JRL,
C90,0.027μ,MyModules:SM0603-C-JRL,
R257,820K,MyModules:SM0603-R-JRL,
C92,0.012μ,MyModules:SM0603-C-JRL,
VR13,500(B),MyModules:RD901F-ALPHA-POT,
R260,1K,MyModules:SM0603-R-JRL,
R258,33K,MyModules:SM0603-R-JRL,
R259,820K,MyModules:SM0603-R-JRL,
R256,33K,MyModules:SM0603-R-JRL,
C91,0.027μ,MyModules:SM0603-C-JRL,
D82,1N4148,MyModules:SOD323-C1A2,
D83,1N4148,MyModules:SOD323-C1A2,
U16,4558,MyModules:TSSOP8-JRL,
R262,100K,MyModules:SM0603-R-JRL,
C96,0.039μ,MyModules:SM0603-C-JRL,
R261,100K,MyModules:SM0603-R-JRL,
R263,47K,MyModules:SM0603-R-JRL,
R266,470K,MyModules:SM0603-R-JRL,
VR12,100K(A),MyModules:RD901F-ALPHA-POT,
C95,33μ,MyModules:2MM-POL-CAP,
R239,1K,MyModules:SM0603-R-JRL,
C97,0.001μ,MyModules:SM0603-C-JRL,
U18,4558,MyModules:TSSOP8-JRL,
Q56,MMBT3904,MyModules:SOT23-132-JRL,
Q57,MMBT3906,MyModules:SOT23-132-JRL,
R268,10K,MyModules:SM0603-R-JRL,
R269,4.7K,MyModules:SM0603-R-JRL,
R267,22K,MyModules:SM0603-R-JRL,
R271,10K,MyModules:SM0603-R-JRL,
R270,4.7K,MyModules:SM0603-R-JRL,
R274,4.7K,MyModules:SM0603-R-JRL,
C99,0.0027μ,MyModules:SM0603-C-JRL,
D60,1N4148,MyModules:SOD323-C1A2,
R282,22K,MyModules:SM0603-R-JRL,
R280,1.5K,MyModules:SM0603-R-JRL,
D59,1N4148,MyModules:SOD323-C1A2,
C100,0.033μ,MyModules:SM0603-C-JRL,
R281,5.6K,MyModules:SM0603-R-JRL,
R276,2.2meg,MyModules:SM0603-R-JRL,
C98,0.047μ,MyModules:SM0603-C-JRL,
R275,33K,MyModules:SM0603-R-JRL,
R272,3.3K,MyModules:SM0603-R-JRL,
Q58,MMBT3904,MyModules:SOT23-132-JRL,
R273,15K,MyModules:SM0603-R-JRL,
R279,4.7K,MyModules:SM0603-R-JRL,
C101,0.027μ,MyModules:SM0603-C-JRL,
R277,22K,MyModules:SM0603-R-JRL,
R278,22K,MyModules:SM0603-R-JRL,
C102,0.01μ,MyModules:SM0603-C-JRL,
C103,0.027μ,MyModules:SM0603-C-JRL,
R284,820K,MyModules:SM0603-R-JRL,
C105,0.056μ,MyModules:SM0603-C-JRL,
VR15,500(B),MyModules:RD901F-ALPHA-POT,
R287,1K,MyModules:SM0603-R-JRL,
R285,33K,MyModules:SM0603-R-JRL,
R286,820K,MyModules:SM0603-R-JRL,
R283,33K,MyModules:SM0603-R-JRL,
C104,0.022μ,MyModules:SM0603-C-JRL,
D84,1N4148,MyModules:SOD323-C1A2,
D85,1N4148,MyModules:SOD323-C1A2,
R289,100K,MyModules:SM0603-R-JRL,
C108,0.033μ,MyModules:SM0603-C-JRL,
R288,100K,MyModules:SM0603-R-JRL,
R290,47K,MyModules:SM0603-R-JRL,
R291,470K,MyModules:SM0603-R-JRL,
VR14,100K(A),MyModules:RD901F-ALPHA-POT,
C109,33μ,MyModules:2MM-POL-CAP,
R294,1K,MyModules:SM0603-R-JRL,
C110,0.001μ,MyModules:SM0603-C-JRL,
U23,LM339-,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,
Q71/72,DMMT3906,MyModules:SOT363-JRL,
U22,LM13700,MyModules:SO16-JRL,
Q28,MMBT3904,MyModules:SOT23-132-JRL,
Q29,MMBT3906,MyModules:SOT23-132-JRL,
R106,10K,MyModules:SM0603-R-JRL,
R105,4.7K,MyModules:SM0603-R-JRL,
R103,22K,MyModules:SM0603-R-JRL,
R104,10K,MyModules:SM0603-R-JRL,
Q69,MMBT3904,MyModules:SOT23-132-JRL,
U21,4558,MyModules:TSSOP8-JRL,
D69,1N4148,MyModules:SOD323-C1A2,
D68,1N4148,MyModules:SOD323-C1A2,
C139,0.018μ,MyModules:SM0603-C-JRL,
C143,1μ,MyModules:2MM-POL-CAP,
R348,1meg,MyModules:SM0603-R-JRL,
C138,0.047μ,MyModules:SM0603-C-JRL,
Q70,MMBT3904,MyModules:SOT23-132-JRL,
R349,1meg,MyModules:SM0603-R-JRL,
C137,0.033μ,MyModules:SM0603-C-JRL,
TM3,10K(B),MyModules:Bourns_3362P,
R370,47K,MyModules:SM0603-R-JRL,
R362,330K,MyModules:SM0603-R-JRL,
R363,10K,MyModules:SM0603-R-JRL,
R346,680,MyModules:SM0603-R-JRL,
R342,15K,MyModules:SM0603-R-JRL,
C129,0.0047μ,MyModules:SM0603-C-JRL,
C128,0.0047μ,MyModules:SM0603-C-JRL,
C136,0.022μ,MyModules:SM0603-C-JRL,
R47,100K,MyModules:SM0603-R-JRL,
R38,39K,MyModules:SM0603-R-JRL,
U9,4558,MyModules:TSSOP8-JRL,
R383,82K,MyModules:SM0603-R-JRL,
R381,1K,MyModules:SM0603-R-JRL,
R382,1K,MyModules:SM0603-R-JRL,
C150,0.001μ,MyModules:SM0603-C-JRL,
R378,100K,MyModules:SM0603-R-JRL,
C127,0.0018μ,MyModules:SM0603-C-JRL,
R332,27K,MyModules:SM0603-R-JRL,
R333,10K,MyModules:SM0603-R-JRL,
R374,10K,MyModules:SM0603-R-JRL,
R366,15K,MyModules:SM0603-R-JRL,
R364,2.2K,MyModules:SM0603-R-JRL,
R369,330,MyModules:SM0603-R-JRL,
C152,0.047μ,MyModules:SM0603-C-JRL,
R376,47K,MyModules:SM0603-R-JRL,
C146,0.018μ,MyModules:SM0603-C-JRL,
R360,27K,MyModules:SM0603-R-JRL,
R353,4.7K,MyModules:SM0603-R-JRL,
R351,4.7K,MyModules:SM0603-R-JRL,
R352,4.7K,MyModules:SM0603-R-JRL,
R355,2.7K,MyModules:SM0603-R-JRL,
R359,10K,MyModules:SM0603-R-JRL,
Q73,MMBT3904,MyModules:SOT23-132-JRL,
R368,470K,MyModules:SM0603-R-JRL,
R367,330,MyModules:SM0603-R-JRL,
R371,15K,MyModules:SM0603-R-JRL,
D71,1N4148,MyModules:SOD323-C1A2,
R356,1meg,MyModules:SM0603-R-JRL,
C144,0.47μ,MyModules:2MM-POL-CAP,
C141,0.001μ,MyModules:SM0603-C-JRL,
D70,1N4148,MyModules:SOD323-C1A2,
C140,0.0027μ,MyModules:SM0603-C-JRL,
R350,1meg,MyModules:SM0603-R-JRL,
R358,68K,MyModules:SM0603-R-JRL,
R358-1,68K,MyModules:SM0603-R-JRL,
C142,220p,MyModules:SM0603-C-JRL,
R354,5.6K,MyModules:SM0603-R-JRL,
Q67,MMBT3904,MyModules:SOT23-132-JRL,
D67,1N4148,MyModules:SOD323-C1A2,
R361,22K,MyModules:SM0603-R-JRL,
R344,220K,MyModules:SM0603-R-JRL,
C134,0.033μ,MyModules:SM0603-C-JRL,
R345,150K,MyModules:SM0603-R-JRL,
R343,100K,MyModules:SM0603-R-JRL,
R341,470K,MyModules:SM0603-R-JRL,
D66,1N4148,MyModules:SOD323-C1A2,
Q66,MMBT3906,MyModules:SOT23-132-JRL,
R337,10K,MyModules:SM0603-R-JRL,
C135,0.1μ,MyModules:SM0603-C-JRL,
C131,0.01μ,MyModules:SM0603-C-JRL,
R338,15K,MyModules:SM0603-R-JRL,
Q65,MMBT3906,MyModules:SOT23-132-JRL,
C132,0.001μ,MyModules:SM0603-C-JRL,
D65,1N4148,MyModules:SOD323-C1A2,
R336,1meg,MyModules:SM0603-R-JRL,
C133,0.001μ,MyModules:SM0603-C-JRL,
R339,3.3K,MyModules:SM0603-R-JRL,
Q68,MMBT3904,MyModules:SOT23-132-JRL,
R340,68K,MyModules:SM0603-R-JRL,
U19,4558,MyModules:TSSOP8-JRL,
R347,22K,MyModules:SM0603-R-JRL,
C151,0.01μ,MyModules:SM0603-C-JRL,
R377,100K,MyModules:SM0603-R-JRL,
R373,47K,MyModules:SM0603-R-JRL,
C130,0.047μ,MyModules:SM0603-C-JRL,
R335,6.8K,MyModules:SM0603-R-JRL,
R375,470K,MyModules:SM0603-R-JRL,
R296,1K,MyModules:SM0603-R-JRL,
C149,220p,MyModules:SM0603-C-JRL,
C145,33μ,MyModules:2MM-POL-CAP,
VR17,100K(A),MyModules:RD901F-ALPHA-POT,
Q59,MMBT3904,MyModules:SOT23-132-JRL,
Q60,MMBT3906,MyModules:SOT23-132-JRL,
R298,10K,MyModules:SM0603-R-JRL,
R299,4.7K,MyModules:SM0603-R-JRL,
R297,22K,MyModules:SM0603-R-JRL,
R303,10K,MyModules:SM0603-R-JRL,
D61,1N4148,MyModules:SOD323-C1A2,
R300,10K,MyModules:SM0603-R-JRL,
R107,1K,MyModules:SM0603-R-JRL,
C24,0.47μ,MyModules:2MM-POL-CAP,
R108,10K,MyModules:SM0603-R-JRL,
D63,1N4148,MyModules:SOD323-C1A2,
R321,2.2meg,MyModules:SM0603-R-JRL,
C120,10μ,MyModules:2MM-POL-CAP,
C116,0.0047μ,MyModules:SM0603-C-JRL,
C115,0.0047μ,MyModules:SM0603-C-JRL,
R315,5.6K,MyModules:SM0603-R-JRL,
R49,1meg,MyModules:SM0603-R-JRL,
C121,0.0047μ,MyModules:SM0603-C-JRL,
C122,0.0047μ,MyModules:SM0603-C-JRL,
R322,10K,MyModules:SM0603-R-JRL,
Q63,MMBT3904,MyModules:SOT23-132-JRL,
R325,330K,MyModules:SM0603-R-JRL,
Q62,MMBT3904,MyModules:SOT23-132-JRL,
R318,220K,MyModules:SM0603-R-JRL,
R323,22K,MyModules:SM0603-R-JRL,
R320,22K,MyModules:SM0603-R-JRL,
R317,10K,MyModules:SM0603-R-JRL,
U20,4558,MyModules:TSSOP8-JRL,
R301,47K,MyModules:SM0603-R-JRL,
R302,10K,MyModules:SM0603-R-JRL,
D62,1N4148,MyModules:SOD323-C1A2,
C111,0.01μ,MyModules:SM0603-C-JRL,
R307,100K,MyModules:SM0603-R-JRL,
C112,0.022μ,MyModules:SM0603-C-JRL,
R304,47K,MyModules:SM0603-R-JRL,
Q61,MMBT3904,MyModules:SOT23-132-JRL,
R305,1meg,MyModules:SM0603-R-JRL,
C113,0.047μ,MyModules:SM0603-C-JRL,
C114,0.001μ,MyModules:SM0603-C-JRL,
D64,1N4148,MyModules:SOD323-C1A2,
R308,820K,MyModules:SM0603-R-JRL,
R310,33K,MyModules:SM0603-R-JRL,
C119,0.0022μ,MyModules:SM0603-C-JRL,
C117,0.0022μ,MyModules:SM0603-C-JRL,
R312,1K,MyModules:SM0603-R-JRL,
R314,33K,MyModules:SM0603-R-JRL,
R309,33K,MyModules:SM0603-R-JRL,
R319,220K,MyModules:SM0603-R-JRL,
R311,10K,MyModules:SM0603-R-JRL,
C118,0.0022μ,MyModules:SM0603-C-JRL,
Q74,J111/J112,MyModules:SOT23-132-JRL,
R313,390K,MyModules:SM0603-R-JRL,
R324,220K,MyModules:SM0603-R-JRL,
C125,0.01μ,MyModules:SM0603-C-JRL,
R326,10K,MyModules:SM0603-R-JRL,
R331,47K,MyModules:SM0603-R-JRL,
C126,33μ,MyModules:2MM-POL-CAP,
R330,470K,MyModules:SM0603-R-JRL,
C153,22p,MyModules:SM0603-C-JRL,
R327,470K,MyModules:SM0603-R-JRL,
R236,1K,MyModules:SM0603-R-JRL,
R169,47K,MyModules:SM0603-R-JRL,
R164,47K,MyModules:SM0603-R-JRL,
R306,22K,MyModules:SM0603-R-JRL,
C31-1,1μ,MyModules:2MM-POL-CAP,
Q27-1,MMBT3904,MyModules:SOT23-132-JRL,
R93,10K,MyModules:SM0603-R-JRL,
R92,22K,MyModules:SM0603-R-JRL,
R97,33K,MyModules:SM0603-R-JRL,
C23,0.001μ,MyModules:SM0603-C-JRL,
R112,3.3K,MyModules:SM0603-R-JRL,
C201,22p,MyModules:SM0603-C-JRL,
U6,CD4011,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,
C27,0.001μ,MyModules:SM0603-C-JRL,
R101-1,680K,MyModules:SM0603-R-JRL,
R101-2,100K,MyModules:SM0603-R-JRL,
R102,680K,MyModules:SM0603-R-JRL,
R117,47K,MyModules:SM0603-R-JRL,
Q31,MMBT3904,MyModules:SOT23-132-JRL,
Q33,MMBT3904,MyModules:SOT23-132-JRL,
R118,10K,MyModules:SM0603-R-JRL,
R119,22K,MyModules:SM0603-R-JRL,
R123,15K,MyModules:SM0603-R-JRL,
Q32,MMBT3904,MyModules:SOT23-132-JRL,
R113,4.7K,MyModules:SM0603-R-JRL,
Q34,MMBT3904,MyModules:SOT23-132-JRL,
VR3,10K(B),MyModules:RD901F-ALPHA-POT,
R114,4.7K,MyModules:SM0603-R-JRL,
R237,33K,MyModules:SM0603-R-JRL,
R120,4.7K,MyModules:SM0603-R-JRL,
C25,47μ,MyModules:2MM-POL-CAP,
R121,100,MyModules:SM0603-R-JRL,
C34-1,47μ,MyModules:2MM-POL-CAP,
VR16,100K(A),MyModules:RD901F-ALPHA-POT,
U4,4558,MyModules:TSSOP8-JRL,
VR1,50K(A),MyModules:RD901F-ALPHA-POT,
C17,1μ,MyModules:2MM-POL-CAP,
C8,2.2μ,MyModules:2MM-POL-CAP,
R69,100K,MyModules:SM0603-R-JRL,
R75,33K,MyModules:SM0603-R-JRL,
C18,220p,MyModules:SM0603-C-JRL,
C19,1μ,MyModules:2MM-POL-CAP,
C23-1,1μ,MyModules:2MM-POL-CAP,
R77,22K,MyModules:SM0603-R-JRL,
R76,33K,MyModules:SM0603-R-JRL,
C22,220p,MyModules:SM0603-C-JRL,
C21,33μ,MyModules:2MM-POL-CAP,
Q13,J111/J112,MyModules:SOT23-132-JRL,
R74,330K,MyModules:SM0603-R-JRL,
C20,0.001μ,MyModules:SM0603-C-JRL,
Q12,MMBT3906,MyModules:SOT23-132-JRL,
Q11,MMBT3904,MyModules:SOT23-132-JRL,
R73,10K,MyModules:SM0603-R-JRL,
R72,220K,MyModules:SM0603-R-JRL,
R71,220K,MyModules:SM0603-R-JRL,
Q10,MMBT3906,MyModules:SOT23-132-JRL,
R70,100,MyModules:SM0603-R-JRL,
R66,10K,MyModules:SM0603-R-JRL,
C7,2.2μ,MyModules:2MM-POL-CAP,
R68,10K,MyModules:SM0603-R-JRL,
R67,1K,MyModules:SM0603-R-JRL,
D9,1N4148,MyModules:SOD323-C1A2,
D10,1N4148,MyModules:SOD323-C1A2,
J1,BD,MyModules:PJ-301B-JACK-SLOTS,
R5,22K,MyModules:SM0603-R-JRL,
J2,SD,MyModules:PJ-301B-JACK-SLOTS,
R4,33K,MyModules:SM0603-R-JRL,
J3,LT,MyModules:PJ-301B-JACK-SLOTS,
J4,MT,MyModules:PJ-301B-JACK-SLOTS,
J5,HT,MyModules:PJ-301B-JACK-SLOTS,
J6,RS,MyModules:PJ-301B-JACK-SLOTS,
J7,CP,MyModules:PJ-301B-JACK-SLOTS,
J8,CB,MyModules:PJ-301B-JACK-SLOTS,
R10,56k,MyModules:SM0603-R-JRL,
J9,CY,MyModules:PJ-301B-JACK-SLOTS,
R11,47K,MyModules:SM0603-R-JRL,
J10,OH,MyModules:PJ-301B-JACK-SLOTS,
J11,CH,MyModules:PJ-301B-JACK-SLOTS,
J12,MASTER,MyModules:PJ-301B-JACK-SLOTS,
R2,33K,MyModules:SM0603-R-JRL,
R1,33K,MyModules:SM0603-R-JRL,
R3,33K,MyModules:SM0603-R-JRL,
R6,33K,MyModules:SM0603-R-JRL,
R7,33K,MyModules:SM0603-R-JRL,
R8,47K,MyModules:SM0603-R-JRL,
R9,47K,MyModules:SM0603-R-JRL,
R14,1K,MyModules:SM0603-R-JRL,
R13,27K,MyModules:SM0603-R-JRL,
R12,3.3K,MyModules:SM0603-R-JRL,
TP11,TEST_POINT,MyModules:TEST_POINT_LOOP_4592,
TP14,TEST_POINT,MyModules:TEST_POINT_LOOP_4592,
